airport_name,country_name,continents,departure_date,arrival_airport,pilot_name,flight_status
Duxford Aerodrome,United Kingdom,Europe,2022-10-30 00:00:00,QFO,Rand Bram,Cancelled
Venice Marco Polo Airport,Italy,Europe,2022-08-20 00:00:00,VCE,Aleda Pigram,On Time
Nuevo Casas Grandes Airport,Mexico,North America,2022-05-27 00:00:00,NCG,Porty Jori,Cancelled
Genoa Cristoforo Colombo Airport,Italy,Europe,2022-12-18 00:00:00,GOA,Ebony Knappitt,On Time
Newcastle Airport,United Kingdom,Europe,2022-03-17 00:00:00,NCL,Reinaldo Caines,On Time
RAF Wildenrath,Germany,Europe,2022-02-17 00:00:00,WID,Gisella Watters,Cancelled
General Lucio Blanco International Airport,Mexico,North America,2022-10-19 00:00:00,REX,Flora Delgardillo,On Time
Magdeburg City Airport,Germany,Europe,2022-12-06 00:00:00,ZMG,Clemmie Harbertson,Cancelled
Rostock-Laage Airport,Germany,Europe,2022-08-23 00:00:00,RLG,Gabrila Speedin,On Time
Valcheta Airport,Argentina,South America,2022-10-23 00:00:00,VCF,Con Kaine,On Time
Weeze Airport,Germany,Europe,2022-02-13 00:00:00,NRN,Cos Donnel,On Time
RAF Lyneham,United Kingdom,Europe,2022-08-27 00:00:00,LYE,Fernando Stuckes,Cancelled
RAF Wyton,United Kingdom,Europe,2022-07-28 00:00:00,QUY,Wilt Reames,On Time
Punta Colorada Airport,Mexico,North America,2022-10-14 00:00:00,PCO,Jody Philpin,On Time
Coventry Airport,United Kingdom,Europe,2022-06-21 00:00:00,CVT,Alaine Ace,On Time
Sarzana-Luni Air Base,Italy,Europe,2022-09-24 00:00:00,QLP,Kingsly Micco,Cancelled
Cardiff International Airport,United Kingdom,Europe,2022-10-30 00:00:00,CWL,Allis Cale,Cancelled
28 de Noviembre Airport,Argentina,South America,2022-08-19 00:00:00,RYO,Cleon De Maine,Delayed
Rochester Airport,United Kingdom,Europe,2022-08-01 00:00:00,RCS,Nathanael Brockest,On Time
RAF Bentwaters,United Kingdom,Europe,2022-02-24 00:00:00,BWY,Chilton Easterling,Delayed
Land's End Airport,United Kingdom,Europe,2022-02-15 00:00:00,LEQ,Giovanna McKinley,Cancelled
Orán Airport,Argentina,South America,2022-11-08 00:00:00,ORA,Ephrem Challoner,On Time
Burg Feuerstein Airport,Germany,Europe,2022-04-20 00:00:00,URD,Rex Jowsey,Delayed
Plymouth City Airport,United Kingdom,Europe,2022-11-26 00:00:00,PLH,Evelina MacDaid,Cancelled
RAF Cottesmore,United Kingdom,Europe,2022-06-01 00:00:00,OKH,Larissa Clemenzo,Delayed
Köthen Airport,Germany,Europe,2022-01-27 00:00:00,KOQ,Kalina Mathen,Delayed
Westerland Sylt Airport,Germany,Europe,2022-02-28 00:00:00,GWT,Fitz Harkus,Delayed
Sarzana-Luni Air Base,Italy,Europe,2022-09-13 00:00:00,QLP,Micky Jaqueme,Cancelled
Necochea Airport,Argentina,South America,2022-08-07 00:00:00,NEC,Pen Askaw,Cancelled
St. Peter-Ording Airport,Germany,Europe,2022-05-11 00:00:00,PSH,Datha Skehens,Cancelled
RAF Lakenheath,United Kingdom,Europe,2022-09-28 00:00:00,LKZ,Elvera Irnys,Delayed
Islay Airport,United Kingdom,Europe,2022-08-19 00:00:00,ILY,Cloe Cheverell,Delayed
Abreojos Airport,Mexico,North America,2022-08-08 00:00:00,AJS,Beth Kitchin,Cancelled
Cologne Bonn Airport,Germany,Europe,2022-01-27 00:00:00,CGN,Chicky Lovelock,Cancelled
Outer Skerries Airport,United Kingdom,Europe,2022-11-18 00:00:00,OUK,Rakel Vargas,Delayed
RAF Wyton,United Kingdom,Europe,2022-03-20 00:00:00,QUY,Judas Watterson,Cancelled
Wick Airport,United Kingdom,Europe,2022-06-21 00:00:00,WIC,Carrie Vlasin,Cancelled
RAF Northolt,United Kingdom,Europe,2022-10-31 00:00:00,NHT,Tobe Rosenstock,On Time
Cozumel International Airport,Mexico,North America,2022-12-08 00:00:00,CZM,Carmine Erb,Cancelled
Neumünster Airport,Germany,Europe,2022-06-21 00:00:00,EUM,Lorenza Spiniello,Cancelled
Treviso-Sant'Angelo Airport,Italy,Europe,2022-04-07 00:00:00,TSF,Hew Alekhov,Cancelled
Del Bajío International Airport,Mexico,North America,2022-10-20 00:00:00,BJX,Jasper Akaster,Cancelled
Lamezia Terme Airport,Italy,Europe,2022-09-01 00:00:00,SUF,Ceil Gozard,Cancelled
Falcone–Borsellino Airport,Italy,Europe,2022-12-17 00:00:00,PMO,Rawley Baurerich,On Time
Latina Air Base,Italy,Europe,2022-06-16 00:00:00,QLT,Lawrence Bolderstone,Cancelled
General Enrique Mosconi Airport,Argentina,South America,2022-04-24 00:00:00,TTG,Rhodie Le Galle,On Time
Libertador Gral D Jose De San Martin Airport,Argentina,South America,2022-07-09 00:00:00,PSS,Amy Castard,Cancelled
Ramstein Air Base,Germany,Europe,2022-02-21 00:00:00,RMS,Drusy Coulthard,On Time
Zweibrücken Airport,Germany,Europe,2022-01-05 00:00:00,ZQW,Ettore Housiaux,Delayed
RAF Benson,United Kingdom,Europe,2022-01-26 00:00:00,BEX,Wynny Foystone,Delayed
Flotta Isle Airport,United Kingdom,Europe,2022-12-17 00:00:00,FLH,Abigale Joseland,Delayed
Spangdahlem Air Base,Germany,Europe,2022-05-26 00:00:00,SPM,Agatha Brampton,On Time
San Luis Río Colorado Airport,Mexico,North America,2022-07-23 00:00:00,UAC,Zitella List,Delayed
Belfast International Airport,United Kingdom,Europe,2022-06-29 00:00:00,BFS,Shea Le Grice,Cancelled
Islas Malvinas Airport,Argentina,South America,2022-09-26 00:00:00,ROS,Nikki O'Currane,Delayed
Cambridge Airport,United Kingdom,Europe,2022-04-11 00:00:00,CBG,Norby Wedderburn,Cancelled
Rio Mayo Airport,Argentina,South America,2022-01-14 00:00:00,ROY,Brnaba Wallman,Cancelled
RAF Fairford,United Kingdom,Europe,2022-04-10 00:00:00,FFD,Gloria McQuie,On Time
Brigadier Antonio Parodi Airport,Argentina,South America,2022-12-24 00:00:00,EQS,Karol Briddock,Delayed
Lydd Airport,United Kingdom,Europe,2022-06-29 00:00:00,LYX,Claus Eard,Delayed
Leeds Bradford Airport,United Kingdom,Europe,2022-02-15 00:00:00,LBA,Sebastien Vittore,Cancelled
Caviahue Airport,Argentina,South America,2022-04-17 00:00:00,CVH,Casandra Embleton,Cancelled
Augsburg Airport,Germany,Europe,2022-03-25 00:00:00,AGB,Portie Jallin,On Time
Coll Airport,United Kingdom,Europe,2022-12-13 00:00:00,COL,Robinett Towsey,Delayed
Chos Malal Airport,Argentina,South America,2022-10-26 00:00:00,HOS,Janie Hindge,On Time
Tiree Airport,United Kingdom,Europe,2022-02-24 00:00:00,TRE,Eadmund Kelf,Cancelled
Varrelbusch Airport,Germany,Europe,2022-09-02 00:00:00,VAC,Lynda Stables,Cancelled
Nottingham Airport,United Kingdom,Europe,2022-07-07 00:00:00,NQT,Kingsly MacGillivrie,Delayed
London Stansted Airport,United Kingdom,Europe,2022-08-15 00:00:00,STN,William Fansy,Cancelled
Lerwick / Tingwall Airport,United Kingdom,Europe,2022-03-02 00:00:00,LWK,Yehudit Dunston,Cancelled
Westerland Sylt Airport,Germany,Europe,2022-03-09 00:00:00,GWT,Galen Acom,Cancelled
Álamos Airport,Mexico,North America,2022-07-01 00:00:00,XAL,Tamara Garvin,On Time
Norwich International Airport,United Kingdom,Europe,2022-01-10 00:00:00,NWI,Tania Boxer,Delayed
Chetumal International Airport,Mexico,North America,2022-10-22 00:00:00,CTM,Ambrosius Fines,Cancelled
Geilenkirchen Air Base,Germany,Europe,2022-10-15 00:00:00,GKE,Cosme Casewell,Delayed
Gatow Airport,Germany,Europe,2022-11-16 00:00:00,GWW,Kay Crowter,Delayed
Pantelleria Airport,Italy,Europe,2022-10-24 00:00:00,PNL,Vincenty De Ath,Delayed
Rochester Airport,United Kingdom,Europe,2022-07-03 00:00:00,RCS,Vaughan Tamas,Delayed
Catania-Fontanarossa Airport,Italy,Europe,2022-06-09 00:00:00,CTA,Ange Gawthrop,Cancelled
Bahías de Huatulco International Airport,Mexico,North America,2022-05-16 00:00:00,HUX,Josi Sanger,Cancelled
Cancún International Airport,Mexico,North America,2022-08-29 00:00:00,CUN,Desdemona Gaywood,On Time
Blackbushe Airport,United Kingdom,Europe,2022-07-02 00:00:00,BBS,Lyell Ambrosch,Cancelled
Blackpool International Airport,United Kingdom,Europe,2022-05-03 00:00:00,BLK,Teressa Stranahan,Cancelled
General Heriberto Jara International Airport,Mexico,North America,2022-08-11 00:00:00,VER,Ira Kilford,Delayed
Bristol Filton Airport,United Kingdom,Europe,2022-10-07 00:00:00,FZO,Westleigh Andriulis,Delayed
RNAS Yeovilton,United Kingdom,Europe,2022-02-12 00:00:00,YEO,Dominique Domegan,Delayed
Corrientes Airport,Argentina,South America,2022-06-21 00:00:00,CNQ,Letitia Founds,On Time
Loreto International Airport,Mexico,North America,2022-03-06 00:00:00,LTO,Jacintha Newland,On Time
Aosta Airport,Italy,Europe,2022-12-10 00:00:00,AOT,Keri Duns,Cancelled
Peretola Airport,Italy,Europe,2022-11-06 00:00:00,FLR,Tomi Westerman,Delayed
Colonia Catriel Airport,Argentina,South America,2022-09-08 00:00:00,CCT,Sasha Rippin,On Time
Böblingen Flugfeld,Germany,Europe,2022-08-09 00:00:00,PHM,Rudy Carter,Delayed
RAF Honington,United Kingdom,Europe,2022-08-09 00:00:00,BEQ,Richardo Franc,Delayed
Ingeniero Ambrosio Taravella Airport,Argentina,South America,2022-12-04 00:00:00,COR,Aubine Jandl,Cancelled
General Roberto Fierro Villalobos International Airport,Mexico,North America,2022-12-25 00:00:00,CUU,Gaven Volant,Cancelled
Erfurt Airport,Germany,Europe,2022-05-09 00:00:00,ERF,Abigale Lippard,On Time
Foggia Gino Lisa Airport,Italy,Europe,2022-12-07 00:00:00,FOG,Katalin Slainey,Delayed
Juist Airport,Germany,Europe,2022-02-23 00:00:00,JUI,Carlee Lillee,Delayed
Berlin Brandenburg Airport (U.C.),Germany,Europe,2022-03-10 00:00:00,BER,Gustie Barry,Delayed
Dresden Airport,Germany,Europe,2022-06-07 00:00:00,DRS,Deloris Ladon,Cancelled
Cupul Airport,Mexico,North America,2022-03-10 00:00:00,TZM,Lucius Hearley,Delayed
Turin Airport,Italy,Europe,2022-10-13 00:00:00,TRN,Galven Covely,Delayed
Ciudad Obregón International Airport,Mexico,North America,2022-07-10 00:00:00,CEN,Kinsley Burditt,On Time
Tapachula International Airport,Mexico,North America,2022-12-06 00:00:00,TAP,Marci Cartmell,On Time
Westray Airport,United Kingdom,Europe,2022-06-14 00:00:00,WRY,Georg Jancik,Cancelled
Francisco Sarabia International Airport,Mexico,North America,2022-01-03 00:00:00,TRC,Othilie Hedderly,On Time
Francisco Primo de Verdad y Ramos Airport,Mexico,North America,2022-06-22 00:00:00,LOM,Sandy Heales,Delayed
San Antonio Copalar Airport,Mexico,North America,2022-10-02 00:00:00,CJT,Niel Mandell,On Time
Tulum Naval Air Station,Mexico,North America,2022-08-18 00:00:00,TUY,Antoni Bruneton,Delayed
Foula Airfield,United Kingdom,Europe,2022-12-08 00:00:00,FOA,Carri Shales,Cancelled
Comiso Airport,Italy,Europe,2022-12-09 00:00:00,CIY,Danita Satterthwaite,Delayed
Sunchales Aeroclub Airport,Argentina,South America,2022-11-06 00:00:00,NCJ,Bertina Najara,Delayed
RAF Upper Heyford,United Kingdom,Europe,2022-07-12 00:00:00,UHF,Alister Tourmell,Cancelled
Aberdeen Dyce Airport,United Kingdom,Europe,2022-06-02 00:00:00,ABZ,Ashlan Danzelman,Delayed
Bragado Airport,Argentina,South America,2022-06-30 00:00:00,QRF,Clea Saunderson,On Time
Fair Isle Airport,United Kingdom,Europe,2022-10-01 00:00:00,FIE,Antoinette Gowman,Cancelled
RAF Wyton,United Kingdom,Europe,2022-08-28 00:00:00,QUY,Haley Polglaze,Delayed
Brigadier Antonio Parodi Airport,Argentina,South America,2022-09-11 00:00:00,EQS,Sydney Scotter,Cancelled
Cotswold Airport,United Kingdom,Europe,2022-10-06 00:00:00,GBA,Tammie Jurca,Cancelled
Böblingen Flugfeld,Germany,Europe,2022-03-31 00:00:00,PHM,Lian Postles,Cancelled
Fürstenfeldbruck Air Base,Germany,Europe,2022-05-29 00:00:00,FEL,Appolonia Beevor,On Time
London Heathrow Airport,United Kingdom,Europe,2022-01-04 00:00:00,LHR,Craig Brasher,Cancelled
Lerwick / Tingwall Airport,United Kingdom,Europe,2022-03-12 00:00:00,LWK,Quinn Roft,On Time
Illesheim Air Base,Germany,Europe,2022-08-30 00:00:00,ILH,Levin Coudray,On Time
Berlin Brandenburg Airport (U.C.),Germany,Europe,2022-09-26 00:00:00,BER,Clementius Parry,On Time
Sywell Aerodrome,United Kingdom,Europe,2022-02-06 00:00:00,ORM,Regine Cressar,Cancelled
Don Miguel Hidalgo Y Costilla International Airport,Mexico,North America,2022-03-24 00:00:00,GDL,Caprice Spridgen,On Time
General Francisco J. Mujica International Airport,Mexico,North America,2022-10-27 00:00:00,MLM,Guthrie Pllu,Delayed
Licenciado Miguel de la Madrid Airport,Mexico,North America,2022-04-07 00:00:00,CLQ,Palmer Staggs,Cancelled
Saenz Peña Airport,Argentina,South America,2022-08-30 00:00:00,SZQ,Marybeth Akester,Cancelled
Reconquista Airport,Argentina,South America,2022-08-08 00:00:00,RCQ,Wyatt Petigrew,Delayed
Forlì Airport,Italy,Europe,2022-03-12 00:00:00,FRL,Justin McNiff,On Time
Benbecula Airport,United Kingdom,Europe,2022-03-31 00:00:00,BEB,Timotheus Gillivrie,Cancelled
San Domino Island Heliport,Italy,Europe,2022-11-04 00:00:00,TQR,Lauraine Beggi,On Time
Lahr Airport,Germany,Europe,2022-02-07 00:00:00,LHA,Seana Worgan,Delayed
Nuevo Casas Grandes Airport,Mexico,North America,2022-09-01 00:00:00,NCG,Davidde Greenhow,On Time
Frankfurt-Hahn Airport,Germany,Europe,2022-06-14 00:00:00,HHN,Giacopo Straw,Cancelled
General Villegas Airport,Argentina,South America,2022-04-02 00:00:00,VGS,Suzi Dudley,On Time
Manchester Airport,United Kingdom,Europe,2022-07-22 00:00:00,MAN,Brady Sprowle,Delayed
Dresden Airport,Germany,Europe,2022-07-01 00:00:00,DRS,Cate Siret,On Time
Braunschweig-Wolfsburg Airport,Germany,Europe,2022-10-30 00:00:00,BWE,Maure Ganniclifft,Cancelled
Munich Airport,Germany,Europe,2022-07-18 00:00:00,MUC,Martin Chattington,Delayed
Junin Airport,Argentina,South America,2022-09-20 00:00:00,JNI,Jamil Knagges,Delayed
Ixtapa Zihuatanejo International Airport,Mexico,North America,2022-09-17 00:00:00,ZIH,Renell Bore,On Time
Vicecomodoro Angel D. La Paz Aragonés Airport,Argentina,South America,2022-10-09 00:00:00,SDE,Bear Sillwood,Cancelled
Bahías de Huatulco International Airport,Mexico,North America,2022-08-25 00:00:00,HUX,Madel Ainslie,On Time
Stronsay Airport,United Kingdom,Europe,2022-12-03 00:00:00,SOY,Jedd Greiser,On Time
Mönchengladbach Airport,Germany,Europe,2022-09-09 00:00:00,MGL,Elvera Adame,Cancelled
Gualeguaychu Airport,Argentina,South America,2022-12-07 00:00:00,GHU,Gothart Cliss,On Time
Mar de Cortés International Airport,Mexico,North America,2022-06-22 00:00:00,PPE,Reiko Earsman,On Time
Bahía de los Ángeles Airport,Mexico,North America,2022-01-05 00:00:00,BHL,Dahlia Tierny,Cancelled
Riesa-Göhlis Airport,Germany,Europe,2022-07-16 00:00:00,IES,Audrey Willman,On Time
Baltrum Airport,Germany,Europe,2022-06-13 00:00:00,BMR,Sasha Meijer,Delayed
Naples International Airport,Italy,Europe,2022-06-30 00:00:00,NAP,Malorie Thowes,On Time
Husum-Schwesing Airport,Germany,Europe,2022-10-24 00:00:00,QHU,Zulema Kacheler,Cancelled
Sunchales Aeroclub Airport,Argentina,South America,2022-01-22 00:00:00,NCJ,Merralee Lexa,On Time
Comodoro Pedro Zanni Airport,Argentina,South America,2022-11-10 00:00:00,PEH,Stacie Tootin,Delayed
Campbeltown Airport,United Kingdom,Europe,2022-02-14 00:00:00,CAL,Nehemiah Vernazza,On Time
Villa Reynolds Airport,Argentina,South America,2022-02-01 00:00:00,VME,Shandra Applegarth,On Time
Loncopue Airport,Argentina,South America,2022-12-24 00:00:00,LCP,Raffaello Allcroft,Delayed
