airport_name,country_name,continents,departure_date,arrival_airport,pilot_name,flight_status,germany_latitude,germany_longitude,argentina_latitude,argentina_longitude,mexico_latitude,mexico_longitude,uk_latitude,uk_longitude,italy_latitude,italy_longitude
Duxford Aerodrome,United Kingdom,Europe,2022-10-30 00:00:00,QFO,Rand Bram,Cancelled,,,,,,,52.090800,0.131900,,
Venice Marco Polo Airport,Italy,Europe,2022-08-20 00:00:00,VCE,Aleda Pigram,On Time,,,,,,,,,45.505300,12.340300
Nuevo Casas Grandes Airport,Mexico,North America,2022-05-27 00:00:00,NCG,Porty Jori,Cancelled,,,,,30.397400,-107.874700,,,,
Genoa Cristoforo Colombo Airport,Italy,Europe,2022-12-18 00:00:00,GOA,Ebony Knappitt,On Time,,,,,,,,,44.413300,8.837600
Newcastle Airport,United Kingdom,Europe,2022-03-17 00:00:00,NCL,Reinaldo Caines,On Time,,,,,,,55.037500,-1.691700,,
RAF Wildenrath,Germany,Europe,2022-02-17 00:00:00,WID,Gisella Watters,Cancelled,51.113600,6.132800,,,,,,,,
General Lucio Blanco International Airport,Mexico,North America,2022-10-19 00:00:00,REX,Flora Delgardillo,On Time,,,,,25.902500,-98.239200,,,,
Magdeburg City Airport,Germany,Europe,2022-12-06 00:00:00,ZMG,Clemmie Harbertson,Cancelled,52.073600,11.626400,,,,,,,,
Rostock-Laage Airport,Germany,Europe,2022-08-23 00:00:00,RLG,Gabrila Speedin,On Time,53.918200,12.278300,,,,,,,,
Valcheta Airport,Argentina,South America,2022-10-23 00:00:00,VCF,Con Kaine,On Time,,,-40.701000,-66.166700,,,,,,
Weeze Airport,Germany,Europe,2022-02-13 00:00:00,NRN,Cos Donnel,On Time,51.602400,6.142200,,,,,,,,
RAF Lyneham,United Kingdom,Europe,2022-08-27 00:00:00,LYE,Fernando Stuckes,Cancelled,,,,,,,51.505100,-1.993400,,
RAF Wyton,United Kingdom,Europe,2022-07-28 00:00:00,QUY,Wilt Reames,On Time,,,,,,,52.357200,-0.107800,,
Punta Colorada Airport,Mexico,North America,2022-10-14 00:00:00,PCO,Jody Philpin,On Time,,,,,23.443400,-109.131200,,,,
Coventry Airport,United Kingdom,Europe,2022-06-21 00:00:00,CVT,Alaine Ace,On Time,,,,,,,52.369700,-1.479700,,
Sarzana-Luni Air Base,Italy,Europe,2022-09-24 00:00:00,QLP,Kingsly Micco,Cancelled,,,,,,,,,42.379900,13.309400
Cardiff International Airport,United Kingdom,Europe,2022-10-30 00:00:00,CWL,Allis Cale,Cancelled,,,,,,,51.396700,-3.343300,,
28 de Noviembre Airport,Argentina,South America,2022-08-19 00:00:00,RYO,Cleon De Maine,Delayed,,,-35.166700,-70.133300,,,,,,
Rochester Airport,United Kingdom,Europe,2022-08-01 00:00:00,RCS,Nathanael Brockest,On Time,,,,,,,51.352000,0.502000,,
RAF Bentwaters,United Kingdom,Europe,2022-02-24 00:00:00,BWY,Chilton Easterling,Delayed,,,,,,,52.130700,1.430500,,
Land's End Airport,United Kingdom,Europe,2022-02-15 00:00:00,LEQ,Giovanna McKinley,Cancelled,,,,,,,50.102800,-5.670600,,
Orán Airport,Argentina,South America,2022-11-08 00:00:00,ORA,Ephrem Challoner,On Time,,,-23.152800,-64.329400,,,,,,
Burg Feuerstein Airport,Germany,Europe,2022-04-20 00:00:00,URD,Rex Jowsey,Delayed,49.793600,11.133100,,,,,,,,
Plymouth City Airport,United Kingdom,Europe,2022-11-26 00:00:00,PLH,Evelina MacDaid,Cancelled,,,,,,,50.422800,-4.105830,,
RAF Cottesmore,United Kingdom,Europe,2022-06-01 00:00:00,OKH,Larissa Clemenzo,Delayed,,,,,,,52.736000,-0.648000,,
Köthen Airport,Germany,Europe,2022-01-27 00:00:00,KOQ,Kalina Mathen,Delayed,51.856400,11.419200,,,,,,,,
Westerland Sylt Airport,Germany,Europe,2022-02-28 00:00:00,GWT,Fitz Harkus,Delayed,54.913200,8.340500,,,,,,,,
Sarzana-Luni Air Base,Italy,Europe,2022-09-13 00:00:00,QLP,Micky Jaqueme,Cancelled,,,,,,,,,42.379900,13.309400
Necochea Airport,Argentina,South America,2022-08-07 00:00:00,NEC,Pen Askaw,Cancelled,,,-38.483100,-58.817200,,,,,,
St. Peter-Ording Airport,Germany,Europe,2022-05-11 00:00:00,PSH,Datha Skehens,Cancelled,54.308900,8.686400,,,,,,,,
RAF Lakenheath,United Kingdom,Europe,2022-09-28 00:00:00,LKZ,Elvera Irnys,Delayed,,,,,,,52.409300,0.561000,,
Islay Airport,United Kingdom,Europe,2022-08-19 00:00:00,ILY,Cloe Cheverell,Delayed,,,,,,,55.681900,-6.256700,,
Abreojos Airport,Mexico,North America,2022-08-08 00:00:00,AJS,Beth Kitchin,Cancelled,,,,,26.711700,-113.911600,,,,
Cologne Bonn Airport,Germany,Europe,2022-01-27 00:00:00,CGN,Chicky Lovelock,Cancelled,50.865900,7.142700,,,,,,,,
Outer Skerries Airport,United Kingdom,Europe,2022-11-18 00:00:00,OUK,Rakel Vargas,Delayed,,,,,,,55.043000,-1.682000,,
RAF Wyton,United Kingdom,Europe,2022-03-20 00:00:00,QUY,Judas Watterson,Cancelled,,,,,,,52.357200,-0.107800,,
Wick Airport,United Kingdom,Europe,2022-06-21 00:00:00,WIC,Carrie Vlasin,Cancelled,,,,,,,58.458900,-3.093100,,
RAF Northolt,United Kingdom,Europe,2022-10-31 00:00:00,NHT,Tobe Rosenstock,On Time,,,,,,,51.553000,-0.418000,,
Cozumel International Airport,Mexico,North America,2022-12-08 00:00:00,CZM,Carmine Erb,Cancelled,,,,,20.522400,-86.925600,,,,
Neumünster Airport,Germany,Europe,2022-06-21 00:00:00,EUM,Lorenza Spiniello,Cancelled,54.079400,9.941400,,,,,,,,
Treviso-Sant'Angelo Airport,Italy,Europe,2022-04-07 00:00:00,TSF,Hew Alekhov,Cancelled,,,,,,,,,45.648400,12.194400
Del Bajío International Airport,Mexico,North America,2022-10-20 00:00:00,BJX,Jasper Akaster,Cancelled,,,,,20.993500,-101.481000,,,,
Lamezia Terme Airport,Italy,Europe,2022-09-01 00:00:00,SUF,Ceil Gozard,Cancelled,,,,,,,,,38.905400,16.242300
Falcone–Borsellino Airport,Italy,Europe,2022-12-17 00:00:00,PMO,Rawley Baurerich,On Time,,,,,,,,,38.175900,13.091000
Latina Air Base,Italy,Europe,2022-06-16 00:00:00,QLT,Lawrence Bolderstone,Cancelled,,,,,,,,,41.542400,12.909000
General Enrique Mosconi Airport,Argentina,South America,2022-04-24 00:00:00,TTG,Rhodie Le Galle,On Time,,,-22.619200,-63.793700,,,,,,
Libertador Gral D Jose De San Martin Airport,Argentina,South America,2022-07-09 00:00:00,PSS,Amy Castard,Cancelled,,,-27.385800,-55.970700,,,,,,
Ramstein Air Base,Germany,Europe,2022-02-21 00:00:00,RMS,Drusy Coulthard,On Time,49.436900,7.600300,,,,,,,,
Zweibrücken Airport,Germany,Europe,2022-01-05 00:00:00,ZQW,Ettore Housiaux,Delayed,49.209500,7.400200,,,,,,,,
RAF Benson,United Kingdom,Europe,2022-01-26 00:00:00,BEX,Wynny Foystone,Delayed,,,,,,,51.616400,-1.095800,,
Flotta Isle Airport,United Kingdom,Europe,2022-12-17 00:00:00,FLH,Abigale Joseland,Delayed,,,,,,,58.577800,-3.119700,,
Spangdahlem Air Base,Germany,Europe,2022-05-26 00:00:00,SPM,Agatha Brampton,On Time,49.972600,6.692500,,,,,,,,
San Luis Río Colorado Airport,Mexico,North America,2022-07-23 00:00:00,UAC,Zitella List,Delayed,,,,,32.446600,-114.803900,,,,
Belfast International Airport,United Kingdom,Europe,2022-06-29 00:00:00,BFS,Shea Le Grice,Cancelled,,,,,,,54.657500,-6.215800,,
Islas Malvinas Airport,Argentina,South America,2022-09-26 00:00:00,ROS,Nikki O'Currane,Delayed,,,-32.903600,-60.785000,,,,,,
Cambridge Airport,United Kingdom,Europe,2022-04-11 00:00:00,CBG,Norby Wedderburn,Cancelled,,,,,,,52.205000,0.175000,,
Rio Mayo Airport,Argentina,South America,2022-01-14 00:00:00,ROY,Brnaba Wallman,Cancelled,,,-45.703300,-70.247300,,,,,,
RAF Fairford,United Kingdom,Europe,2022-04-10 00:00:00,FFD,Gloria McQuie,On Time,,,,,,,51.682200,-1.790000,,
Brigadier Antonio Parodi Airport,Argentina,South America,2022-12-24 00:00:00,EQS,Karol Briddock,Delayed,,,-42.907200,-71.139500,,,,,,
Lydd Airport,United Kingdom,Europe,2022-06-29 00:00:00,LYX,Claus Eard,Delayed,,,,,,,50.956100,0.939200,,
Leeds Bradford Airport,United Kingdom,Europe,2022-02-15 00:00:00,LBA,Sebastien Vittore,Cancelled,,,,,,,53.865900,-1.660600,,
Caviahue Airport,Argentina,South America,2022-04-17 00:00:00,CVH,Casandra Embleton,Cancelled,,,-37.920300,-71.139500,,,,,,
Augsburg Airport,Germany,Europe,2022-03-25 00:00:00,AGB,Portie Jallin,On Time,48.425200,10.931800,,,,,,,,
Coll Airport,United Kingdom,Europe,2022-12-13 00:00:00,COL,Robinett Towsey,Delayed,,,,,,,56.634100,-6.619200,,
Chos Malal Airport,Argentina,South America,2022-10-26 00:00:00,HOS,Janie Hindge,On Time,,,-37.444600,-70.222500,,,,,,
Tiree Airport,United Kingdom,Europe,2022-02-24 00:00:00,TRE,Eadmund Kelf,Cancelled,,,,,,,56.499200,-6.869200,,
Varrelbusch Airport,Germany,Europe,2022-09-02 00:00:00,VAC,Lynda Stables,Cancelled,52.926900,7.790300,,,,,,,,
Nottingham Airport,United Kingdom,Europe,2022-07-07 00:00:00,NQT,Kingsly MacGillivrie,Delayed,,,,,,,52.920000,-1.080000,,
London Stansted Airport,United Kingdom,Europe,2022-08-15 00:00:00,STN,William Fansy,Cancelled,,,,,,,51.884700,0.235200,,
Lerwick / Tingwall Airport,United Kingdom,Europe,2022-03-02 00:00:00,LWK,Yehudit Dunston,Cancelled,,,,,,,60.192200,-1.243600,,
Westerland Sylt Airport,Germany,Europe,2022-03-09 00:00:00,GWT,Galen Acom,Cancelled,54.913200,8.340500,,,,,,,,
Álamos Airport,Mexico,North America,2022-07-01 00:00:00,XAL,Tamara Garvin,On Time,,,,,21.419500,-97.791600,,,,
Norwich International Airport,United Kingdom,Europe,2022-01-10 00:00:00,NWI,Tania Boxer,Delayed,,,,,,,52.675800,1.282800,,
Chetumal International Airport,Mexico,North America,2022-10-22 00:00:00,CTM,Ambrosius Fines,Cancelled,,,,,18.504700,-88.326800,,,,
Geilenkirchen Air Base,Germany,Europe,2022-10-15 00:00:00,GKE,Cosme Casewell,Delayed,50.960800,6.042400,,,,,,,,
Gatow Airport,Germany,Europe,2022-11-16 00:00:00,GWW,Kay Crowter,Delayed,52.474600,13.137500,,,,,,,,
Pantelleria Airport,Italy,Europe,2022-10-24 00:00:00,PNL,Vincenty De Ath,Delayed,,,,,,,,,36.816500,11.968900
Rochester Airport,United Kingdom,Europe,2022-07-03 00:00:00,RCS,Vaughan Tamas,Delayed,,,,,,,51.352000,0.502000,,
Catania-Fontanarossa Airport,Italy,Europe,2022-06-09 00:00:00,CTA,Ange Gawthrop,Cancelled,,,,,,,,,37.466800,15.066500
Bahías de Huatulco International Airport,Mexico,North America,2022-05-16 00:00:00,HUX,Josi Sanger,Cancelled,,,,,15.775300,-96.262600,,,,
Cancún International Airport,Mexico,North America,2022-08-29 00:00:00,CUN,Desdemona Gaywood,On Time,,,,,21.036500,-86.877100,,,,
Blackbushe Airport,United Kingdom,Europe,2022-07-02 00:00:00,BBS,Lyell Ambrosch,Cancelled,,,,,,,51.323900,-0.847200,,
Blackpool International Airport,United Kingdom,Europe,2022-05-03 00:00:00,BLK,Teressa Stranahan,Cancelled,,,,,,,53.771700,-3.028500,,
General Heriberto Jara International Airport,Mexico,North America,2022-08-11 00:00:00,VER,Ira Kilford,Delayed,,,,,19.145900,-96.187300,,,,
Bristol Filton Airport,United Kingdom,Europe,2022-10-07 00:00:00,FZO,Westleigh Andriulis,Delayed,,,,,,,51.519400,-2.590800,,
RNAS Yeovilton,United Kingdom,Europe,2022-02-12 00:00:00,YEO,Dominique Domegan,Delayed,,,,,,,51.009400,-2.638900,,
Corrientes Airport,Argentina,South America,2022-06-21 00:00:00,CNQ,Letitia Founds,On Time,,,-27.445500,-58.761900,,,,,,
Loreto International Airport,Mexico,North America,2022-03-06 00:00:00,LTO,Jacintha Newland,On Time,,,,,25.989200,-111.348000,,,,
